,Unnamed: 0.1,Unnamed: 0,HOUR,ROUND,SPORT,NAME,BIRTH DATE,NAT.,PLACE,MARK
0,0,194,12:51:00,Final,Women's Shot Put,Chase EALY,20 JUL 1994,USA,1.0,20.43
1,1,195,12:54:00,Final,Women's Shot Put,Sarah MITTON,20 JUN 1996,CAN,2.0,20.08
2,2,196,12:57:00,Final,Women's Shot Put,Lijiao GONG,24 JAN 1989,CHN,3.0,19.69
3,3,197,13:00:00,Final,Women's Shot Put,Auriol DONGMO,03 AUG 1990,POR,4.0,19.69
4,4,198,13:03:00,Final,Women's Shot Put,Danniel THOMAS-DODD,11 NOV 1992,JAM,5.0,19.59
5,5,199,13:06:00,Final,Women's Shot Put,Maggie EWEN,23 SEP 1994,USA,6.0,19.51
6,6,200,13:09:00,Final,Women's Shot Put,Maddison-Lee WESCHE,13 JUN 1999,NZL,7.0,19.51
7,7,201,13:12:00,Final,Women's Shot Put,Jessica SCHILDER,19 MAR 1999,NED,8.0,19.26
8,8,202,13:15:00,Final,Women's Shot Put,Jorinde VAN KLINKEN,02 FEB 2000,NED,9.0,19.05
9,9,203,13:18:00,Final,Women's Shot Put,Yemisi OGUNLEYE,03 OCT 1998,GER,10.0,18.97
10,10,204,13:21:00,Final,Women's Shot Put,Jiayuan SONG,15 SEP 1997,CHN,11.0,18.9
11,11,205,13:24:00,Final,Women's Shot Put,Sara GAMBETTA,18 FEB 1993,GER,12.0,18.71
12,12,206,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Brendon RODNEY,09 APR 1992,CAN,1.0,20.14
13,13,207,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Renan CORREA,15 MAR 2004,BRA,2.0,20.44
14,14,208,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Franklin OWURAKU ADU,30 NOV 2000,GHA,3.0,20.48
15,15,209,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,4.0,20.49
16,16,210,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Jared ELCOCK,22 JAN 1999,TTO,5.0,20.5
17,17,211,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Mobolade AJOMALE,31 AUG 1995,CAN,6.0,20.74
18,18,212,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Fanbin XIE,17 OCT 1993,CHN,7.0,20.9
19,19,213,10:00:00,Round 1 - Heat 4,Men's 200 Metres,Bernardo PERALTA,15 AUG 1996,CHI,8.0,21.41
20,20,214,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Erriyon KNIGHTON,29 JAN 2004,USA,1.0,20.17
21,21,215,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Sinesipho DAMBILE,02 MAR 2002,RSA,2.0,20.23
22,22,216,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Anaso JOBODWANA,30 JUL 1992,RSA,3.0,20.68
23,23,217,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Paulo ANDRÉ,20 AUG 1998,BRA,4.0,20.75
24,24,218,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Carlos PALACIOS,04 FEB 2001,ECU,5.0,20.95
25,25,219,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Kemar BAILEY-COLE,10 JAN 1992,JAM,6.0,21.1
26,26,220,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Denislav KIRILOV,19 MAY 1996,BUL,7.0,21.39
27,27,221,10:09:00,Round 1 - Heat 5,Men's 200 Metres,Moussa ISSA,22 DEC 2000,NIG,8.0,22.2
28,28,222,10:18:00,Round 1 - Heat 6,Men's 200 Metres,Kenneth BEDNAREK,14 OCT 1998,USA,1.0,20.01
29,29,223,10:18:00,Round 1 - Heat 6,Men's 200 Metres,Courtney LINDSEY,18 NOV 1998,USA,2.0,20.24
30,30,224,10:18:00,Round 1 - Heat 6,Men's 200 Metres,Tarsis Gracious OROGOT,24 NOV 2002,UGA,3.0,20.44
31,31,225,10:18:00,Round 1 - Heat 6,Men's 200 Metres,Carlinhos Gabriel de CAMPOS,16 NOV 2001,BRA,4.0,20.45
32,32,226,10:18:00,Round 1 - Heat 6,Men's 200 Metres,Shaun MASWANGANYI,01 FEB 2001,RSA,5.0,20.57
33,33,227,10:18:00,Round 1 - Heat 6,Men's 200 Metres,Ramesh REDDY,26 OCT 1994,FIJ,6.0,21.76
34,34,228,10:18:00,Round 1 - Heat 6,Men's 200 Metres,Gabriel MAMMARELLA,17 APR 2002,ITA,,DNS
35,35,229,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Noah LYLES,18 JUL 1997,USA,1.0,20.05
36,36,230,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Andrew HUDSON,14 DEC 1996,JAM,2.0,20.25
37,37,231,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Ondřej MACÍK,12 JAN 2001,CZE,3.0,20.4
38,38,232,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Tapiwanashe MAKARAWU,14 AUG 2000,ZIM,4.0,20.64
39,39,233,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Ján VOLKO,02 NOV 1996,SVK,5.0,20.69
40,40,234,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Jorge VIDES,24 NOV 1992,BRA,6.0,20.8
41,41,235,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Seunghwan KO,14 NOV 1997,KOR,7.0,21.09
42,42,236,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Leroy KAMAU,02 FEB 1999,PNG,8.0,21.18
43,43,237,10:27:00,Round 1 - Heat 2,Men's 200 Metres,Jessy FRANCO,07 DEC 1998,GIB,9.0,22.04
44,44,238,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Letsile TEBOGO,07 JUN 2003,BOT,1.0,20.22
