Athlète,Sexe,Pays,Discipline,Year,Position,Temps,Note
Caeleb Dressel,Homme, États-Unis,50m nage,2019,1.0,21.04,
Bruno Fratus,Homme,Brésil,50m nage,2019,2.0,21.45,
Kristian Gkolomeev,Homme,Grèce,50m nage,2019,3.0,21.45,
Vladimir Morozov,Homme,ROC,50m nage,2019,4.0,21.53,
Benjamin Proud,Homme, Royaume-Uni,50m nage,2019,5.0,21.55,
Michael Andrew,Homme, États-Unis,50m nage,2019,6.0,21.62,
Pawel Juraszek,Homme,Pologne,50m nage,2019,7.0,21.67,
Shinri Shioura,Homme,Japon,50m nage,2019,8.0,21.81,
Simone Manuel,Femme, États-Unis,50m nage,2019,1.0,24.05,
Sarah Sjöström,Femme,Suéde,50m nage,2019,2.0,24.07,
Cate Campbell,Femme,Australie,50m nage,2019,3.0,24.11,
Pernille Blume,Femme,Danemark,50m nage,2019,4.0,24.12,
Mariya Kameneva,Femme,ROC,50m nage,2019,5.0,24.31,
Ranomi Kromowidjojo,Femme, Pays-Bas,50m nage,2019,6.0,24.35,
Anna Hopkin,Femme, Royaume-Uni,50m nage,2019,7.0,24.40,
Bronte Campbell,Femme,Australie,50m nage,2019,8.0,24.48,
Yang Sun,Homme,Chine,200m nage,2019,1.0,1:44.93,
Katsuhiro Matsumoto,Homme,Japon,200m nage,2019,2.0,1:45.22,
Martin Malyutin,Homme,ROC,200m nage,2019,3.0,1:45.63,
Duncan Scott,Homme, Royaume-Uni,200m nage,2019,4.0,1:45.63,
Filippo Megli,Homme,Italie,200m nage,2019,5.0,1:45.67,
Clyde Lewis,Homme,Australie,200m nage,2019,6.0,1:45.78,
Dominik Kozma,Homme,Hongrie,200m nage,2019,7.0,1:45.90,
Danas Rapšys,Homme,Lituanie,200m nage,2019,8.0,,DSQ
Federica Pellegrini,Femme,Italie,200m nage,2019,1.0,1:54.22,
Ariarne Titmus,Femme,Australie,200m nage,2019,2.0,1:54.66,
Sarah Sjöström,Femme,Suéde,200m nage,2019,3.0,1:54.78,
Siobhán Haughey,Femme,Hong Kong,200m nage,2019,4.0,1:54.98,
Junxuan Yang,Femme,Chine,200m nage,2019,5.0,1:55.43,
Penny Oleksiak,Femme,Canada,200m nage,2019,6.0,1:56.59,
Charlotte Bonnet,Femme,France,200m nage,2019,7.0,1:56.95,
Rio Shirai,Femme,Japon,200m nage,2019,8.0,1:57.14,
Caeleb Dressel,Homme, États-Unis,50m nage,2020,1.0,21.07,
Florent Manaudou,Homme, France,50m nage,2020,2.0,21.55,
Bruno Fratus,Homme, Brésil,50m nage,2020,3.0,21.57,
